ID,Answer,IsCover
1,2,false
2,0,false
3,0,false
4,0,false
5,0,false
6,0,false
7,3,false
8,0,false
9,0,false
10,0,false
11,0,false
12,1,false
13,1,false
14,0,false
15,0,false
16,0,false
17,0,false
18,0,false
19,0,false
20,0,false
21,0,false
22,0,false
23,0,false
24,3,false
25,0,false
26,0,false
27,2,false
28,1,false
29,0,false
30,0,false
31,0,false
32,0,false
33,0,false
34,0,false
35,1,false
36,0,false
37,0,false
38,0,false
39,0,false
40,0,false
41,0,false
42,1,false
43,0,false
44,0,false
45,2,false
46,0,false
47,0,false
48,0,false
49,0,false
50,1,false
51,0,false
52,0,false
53,0,false
54,1,false
55,3,false
56,2,false
57,3,false
58,0,false
59,0,false
60,0,false
61,3,false
62,2,false
63,0,false
64,0,false
65,0,false
66,1,false
67,0,false
68,0,false
69,0,false
70,2,false
71,0,false
72,1,false
73,0,false
74,3,false
75,2,false
76,0,false
77,1,false
78,0,false
79,0,false
80,1,false
81,0,false
82,0,false
83,0,false
84,1,true
85,1,false
86,0,false
87,0,false
88,2,false
89,2,false
90,0,true
91,0,false
92,0,false
93,0,false
94,0,false
95,1,false
96,0,false
97,0,false
98,0,false
99,0,false
100,0,false
101,1,false
102,0,false
103,2,false
104,0,false
105,0,false
106,2,false
107,1,false
108,1,false
109,0,false
110,0,false
111,0,false
112,2,false
113,3,false
114,0,false
115,0,false
116,0,false
117,0,false
118,0,false
119,0,false
120,0,false
121,1,false
122,3,false
123,0,false
124,3,false
125,0,false
126,0,false
127,0,false
128,3,false
129,0,false
130,2,false
131,1,false
132,0,false
133,0,false
134,3,false
135,0,false
136,1,false
137,0,false
138,0,false
139,0,false
140,0,false
141,0,false
142,0,false
143,0,false
144,0,false
145,0,false
146,0,false
147,0,false
148,0,false
149,2,false
150,0,false
151,2,false
152,0,false
153,0,false
154,0,false
155,1,false
156,0,false
157,0,false
158,0,false
159,0,false
160,0,false
161,3,false
162,0,false
163,0,false
164,0,false
165,0,false
166,0,false
167,2,false
168,0,false
169,0,false
170,0,false
171,1,false
172,1,false
173,1,false
174,0,false
175,0,false
176,0,false
177,0,false
178,2,false
179,0,false
180,0,false
181,0,false
182,0,false
183,0,false
184,0,false
185,1,false
186,3,false
187,0,false
188,2,false
189,3,false
190,2,false
191,0,false
192,0,false
193,0,false
194,0,false
195,0,false
196,0,false
197,0,false
198,0,false
199,0,false
200,0,false
201,0,false
202,0,false
203,1,false
204,0,false
205,0,false
206,3,false
207,3,false
208,0,false
209,1,false
210,3,false
211,2,false
212,0,false
213,0,false
214,0,false
215,2,false
216,0,false
217,2,false
218,0,false
219,0,false
220,0,false
221,0,false
222,1,false
223,2,false
224,0,false
225,2,false
226,3,false
227,1,false
228,0,false
229,2,false
230,0,false
231,0,false
232,0,false
233,0,false
234,0,false
235,0,false
236,0,false
237,0,false
238,0,false
239,0,false
240,0,false
241,0,false
242,1,false
243,0,false
244,1,false
245,2,false
246,0,false
247,0,false
248,1,false
249,1,false
250,0,false
251,0,false
252,0,false
253,0,false
254,0,false
255,2,false
256,2,false
257,0,false
258,0,false
259,0,false
260,0,false
261,3,false
262,0,false
263,0,false
264,0,false
265,0,false
266,3,false
267,0,false
268,0,false
269,0,false
270,1,false
271,0,false
272,0,false
273,0,false
274,0,false
275,0,true
276,0,false
277,0,false
278,0,false
279,0,false
280,3,false
281,0,false
282,2,false
283,1,false
284,3,false
285,0,false
286,0,false
287,0,false
288,0,false
289,0,false
290,0,false
291,0,false
292,0,false
293,0,false
294,1,false
295,0,false
296,0,false
297,0,false
298,0,false
299,0,false
300,2,false
301,0,false
302,0,false
303,1,false
304,2,false
305,0,false
306,0,false
307,0,false
308,3,false
309,2,false
310,0,false
311,1,false
312,0,false
313,1,false
314,0,false
315,0,false
316,2,false
317,0,false
318,1,false
319,0,false
320,0,false
321,0,false
322,2,false
323,0,false
324,2,false
325,0,false
326,1,false
327,0,false
328,0,false
329,0,false
330,1,false
331,0,false
332,0,false
333,0,false
334,0,false
335,0,false
336,0,false
337,0,false
338,0,false
339,0,false
340,0,true
341,0,false
342,0,false
343,1,false
344,2,false
345,2,false
346,2,false
347,0,false
348,3,false
349,3,false
350,1,false
351,0,false
352,0,false
353,0,false
354,1,false
355,0,false
356,0,false
357,3,false
358,1,false
359,2,false
360,0,false
361,3,false
362,0,false
363,0,false
364,0,false
365,0,false
366,0,false
367,0,false
368,1,false
369,0,false
370,0,false
371,1,false
372,2,false
373,0,false
374,0,false
375,0,false
376,0,false
377,2,false
378,0,false
379,0,false
380,2,false
381,0,false
382,0,false
383,0,false
384,2,false
385,1,false
386,2,false
387,0,false
388,1,false
389,0,false
390,0,false
391,0,false
392,0,false
393,0,false
394,0,false
395,0,false
396,0,false
397,3,false
398,0,false
399,0,false
400,0,false
401,0,false
402,0,false
403,0,false
404,2,false
405,0,false
406,1,false
407,1,false
408,0,false
409,2,false
410,0,false
411,0,false
412,3,false
413,0,false
414,0,false
415,2,false
416,2,false
417,0,false
418,1,false
419,0,false
420,0,false
421,0,false
422,0,false
423,0,false
424,0,false
425,0,false
426,0,false
427,0,false
428,1,false
429,1,false
430,0,false
431,1,false
432,0,false
433,0,false
434,0,false
435,0,false
436,0,false
437,0,false
438,0,false
439,0,false
440,0,false
441,0,false
442,0,false
443,0,false
444,0,false
445,0,false
446,0,false
447,3,false
448,0,false
449,1,false
450,0,false
451,1,false
452,3,false
453,0,false
454,0,false
455,0,false
456,0,false
457,0,false
458,0,false
459,0,false
460,0,false
