ID,Answer,IsCover
1,0,false
2,3,false
3,3,false
4,2,false
5,2,false
6,0,false
7,0,false
8,0,false
9,3,false
10,2,false
11,2,false
12,1,false
13,0,false
14,3,false
15,0,false
16,3,false
17,3,false
18,0,false
19,2,false
20,2,false
21,1,false
22,1,false
23,0,false
24,1,false
25,3,false
26,1,false
27,1,false
28,1,false
29,3,false
30,0,false
31,3,false
32,1,false
33,3,false
34,2,false
35,2,false
36,0,false
37,1,false
38,0,false
39,2,false
40,0,false
41,3,false
42,1,false
43,2,false
44,3,false
45,0,false
46,1,false
47,0,false
48,1,false
49,3,false
50,2,false
51,1,false
52,3,false
53,3,false
54,1,false
55,2,false
56,2,false
57,2,false
58,0,false
59,2,false
60,2,false
61,3,false
62,1,false
63,2,false
64,2,false
65,3,false
66,2,false
67,2,false
68,3,false
69,0,false
70,3,false
71,1,false
72,1,false
73,2,false
74,0,false
75,0,false
76,3,false
77,1,false
78,0,false
79,1,false
80,2,false
81,0,false
82,3,false
83,1,false
84,0,false
85,1,false
86,0,false
87,0,false
88,3,false
89,0,false
90,1,false
91,2,false
92,2,false
93,1,false
94,2,false
95,0,false
96,2,false
97,2,false
98,2,false
99,0,false
100,0,false
101,3,false
102,0,false
103,0,false
104,0,false
105,3,false
106,2,false
107,1,false
108,0,true
109,0,false
110,3,false
111,2,false
112,0,false
113,0,false
114,0,false
115,0,false
116,2,false
117,2,false
118,1,false
119,2,false
120,0,false
121,1,false
122,0,false
123,3,false
124,3,false
125,1,false
126,3,false
127,0,false
128,1,false
129,1,false
130,2,false
131,0,false
132,3,false
133,0,false
134,1,false
135,1,false
136,1,false
137,1,false
138,2,false
139,0,false
140,0,false
141,2,false
142,0,false
143,2,false
144,2,false
145,1,false
146,3,true
147,3,false
148,1,false
149,2,false
150,0,false
151,3,false
152,2,false
153,2,false
154,0,false
155,1,false
156,3,false
157,0,false
158,3,false
159,3,false
160,2,false
161,1,false
162,2,false
163,1,false
164,3,false
165,1,false
166,3,false
167,2,false
168,1,false
169,1,false
170,0,false
171,2,false
172,0,false
173,1,false
174,0,false
175,2,false
176,0,false
177,2,false
178,1,false
179,3,false
180,3,false
181,1,false
182,2,false
183,0,false
184,1,false
185,1,false
186,0,false
187,1,false
188,2,false
189,1,false
190,1,false
191,3,false
192,2,false
193,2,false
194,3,false
195,1,false
196,3,false
197,2,false
198,3,false
199,0,false
200,0,false
201,0,false
202,1,false
203,0,false
204,0,false
205,3,false
206,0,false
207,3,false
208,0,false
209,1,false
210,1,false
211,3,false
212,1,false
213,3,false
214,2,true
215,1,false
216,3,false
217,3,false
218,0,false
219,1,false
220,1,false
221,3,false
222,1,false
223,3,false
224,2,false
225,1,false
226,1,false
227,2,false
228,0,false
229,0,false
230,0,false
231,0,false
232,2,false
233,3,false
234,1,false
235,2,false
236,0,false
237,2,false
238,2,false
239,3,false
240,2,false
241,3,false
242,0,false
243,1,false
244,0,false
245,1,false
246,2,false
247,1,false
248,3,false
249,3,false
250,0,false
251,0,false
252,2,false
253,3,false
254,2,false
255,2,false
256,3,false
257,1,false
258,2,false
259,0,false
260,3,false
261,1,false
262,0,true
263,2,false
264,3,true
265,2,false
266,3,false
267,1,false
268,2,false
269,2,false
270,1,false
271,0,false
272,2,false
273,3,false
274,2,false
275,3,false
276,3,false
277,2,false
278,2,false
279,2,false
280,0,false
281,1,false
282,2,false
283,0,false
284,1,false
285,0,false
286,1,false
287,2,false
288,0,false
289,3,false
290,1,false
291,2,false
292,1,false
293,1,false
294,1,false
295,0,false
296,1,false
297,0,false
298,1,false
299,1,false
300,3,false
301,3,false
302,2,false
303,3,false
304,2,false
305,2,false
306,1,false
307,0,false
308,2,false
309,1,false
310,1,false
311,1,false
312,1,false
313,0,false
314,3,false
315,0,false
316,0,false
317,0,false
318,3,false
319,1,false
320,3,false
321,2,false
322,0,false
323,2,false
324,0,false
325,1,false
326,0,false
327,1,false
328,2,false
329,0,false
330,0,false
331,3,false
332,2,false
333,1,false
334,2,false
335,0,false
336,3,false
337,0,false
338,2,false
339,2,false
340,2,false
341,1,false
342,1,false
343,2,false
344,2,false
345,3,false
346,0,false
347,2,false
348,0,false
349,1,false
350,0,false
351,2,false
352,3,false
353,1,false
354,0,false
355,3,false
356,0,false
357,0,false
358,3,false
359,2,false
360,3,false
361,3,false
362,1,false
363,3,false
364,0,false
365,1,false
366,2,false
367,0,false
368,1,false
369,0,false
370,1,false
371,2,false
372,0,false
373,0,false
374,2,false
375,0,false
376,2,false
377,0,false
378,2,false
379,2,false
380,2,false
381,1,false
382,1,false
383,0,false
384,1,false
385,0,false
386,1,false
387,1,false
388,2,false
389,2,false
390,0,false
391,3,false
392,0,false
393,2,false
394,1,false
395,2,false
396,0,false
397,1,false
398,3,false
399,1,false
400,3,false
401,3,false
402,1,false
403,0,false
404,3,false
405,2,false
406,2,false
407,1,false
408,2,false
409,0,false
410,2,false
411,0,false
412,2,false
413,1,false
414,2,false
415,1,false
416,0,false
417,0,false
418,3,false
419,1,false
420,3,false
421,1,false
422,3,false
423,0,false
424,0,false
425,0,false
426,3,false
427,1,false
428,0,false
429,0,false
430,0,false
431,2,false
432,1,false
433,3,false
434,0,false
435,0,false
436,3,false
437,2,false
438,2,false
439,0,false
440,1,false
441,0,false
442,1,false
443,1,false
444,2,false
445,3,false
446,1,false
447,3,false
448,3,false
449,0,false
450,1,false
451,0,false
452,1,false
453,1,false
454,0,false
455,1,false
456,0,false
457,2,false
458,0,false
459,3,false
460,0,false
461,3,false
462,0,false
463,1,false
464,0,false
465,1,false
466,0,false
467,1,false
468,0,false
469,1,false
470,3,false
471,1,false
472,2,false
473,1,false
474,2,false
475,2,false
476,2,false
477,1,false
478,2,false
479,0,false
480,0,false
481,2,false
482,0,false
483,0,false
484,0,false
485,1,false
486,2,false
487,1,false
488,1,false
489,2,false
490,2,false
491,0,false
492,3,false
493,3,false
494,0,false
495,3,false
496,0,false
497,1,false
498,3,false
499,1,false
500,0,false
501,2,false
502,1,false
503,2,false
504,0,false
505,2,false
506,3,false
507,0,false
508,1,false
509,1,false
510,3,false
511,2,false
512,2,false
513,1,false
514,2,false
515,3,false
516,1,false
517,0,false
518,1,false
519,3,false
520,1,false
521,3,false
522,1,false
523,3,false
524,0,true
525,0,false
526,0,false
527,0,false
528,2,false
529,0,false
530,3,false
531,2,false
532,0,false
533,2,false
534,2,false
535,1,false
536,1,false
537,3,false
538,3,false
539,3,false
540,0,false
541,2,false
542,2,false
543,1,false
544,1,false
545,2,false
546,0,false
547,1,false
548,2,false
549,0,false
550,2,false
551,1,false
552,1,false
553,0,false
554,2,false
555,2,false
556,0,false
557,2,false
558,0,false
559,2,false
560,3,false
561,3,false
562,0,false
563,0,false
564,2,false
565,2,false
566,2,false
567,3,false
568,3,false
569,2,false
570,1,false
571,2,false
572,2,false
573,2,false
574,1,false
575,0,false
576,3,false
577,2,false
578,1,false
579,1,false
580,1,false
581,2,false
582,0,false
583,3,false
584,0,false
585,1,false
586,3,false
587,0,false
588,1,false
589,0,false
590,0,false
591,1,false
592,0,false
593,1,false
594,2,false
595,3,false
596,1,false
597,1,false
598,2,false
599,0,false
600,1,false
601,1,false
602,1,false
603,3,false
604,2,false
605,3,false
606,0,false
607,0,false
608,1,false
609,0,false
610,0,false
611,0,false
612,0,false
613,0,false
614,0,false
615,1,false
616,2,false
617,1,false
618,1,false
619,2,false
620,1,false
621,3,false
622,0,false
623,2,false
624,0,false
625,1,false
626,0,false
627,2,false
628,2,false
629,0,false
630,3,false
631,2,false
632,0,false
633,0,false
634,3,false
635,1,false
636,3,false
637,1,false
638,0,false
639,3,false
640,2,false
641,3,false
642,2,false
643,0,false
644,1,false
645,0,false
646,0,false
647,0,false
648,0,false
649,0,false
650,2,false
651,3,false
652,1,false
653,3,false
654,0,false
655,1,false
656,1,false
657,2,false
658,2,false
659,0,false
660,0,false
661,1,false
662,0,false
663,2,false
664,2,false
665,1,false
666,0,false
667,3,false
668,3,false
669,3,false
670,2,false
671,0,false
672,1,false
673,0,false
674,1,false
675,1,false
676,2,false
677,0,false
678,2,false
679,1,false
680,3,false
681,0,false
682,2,false
683,0,false
684,3,false
685,3,false
686,3,false
687,3,false
688,1,false
689,1,false
690,2,false
691,2,false
692,3,false
693,2,false
694,2,false
695,1,false
696,1,false
697,3,false
698,0,false
699,1,false
700,0,false
701,1,false
702,0,false
703,0,false
704,0,false
705,0,false
706,0,false
707,2,false
708,1,false
709,0,false
710,0,false
711,2,false
712,0,false
713,3,false
714,1,false
715,0,false
716,1,false
717,0,false
718,1,false
719,2,false
720,3,false
721,0,false
722,2,false
723,0,false
724,0,false
725,2,false
726,0,false
727,3,false
728,3,false
729,0,false
730,2,false
731,1,false
732,0,false
733,1,false
734,3,false
735,2,false
736,0,false
737,1,false
738,0,false
739,3,false
740,1,false
741,1,false
742,1,false
743,3,false
744,0,false
745,2,false
746,2,false
747,2,false
748,1,false
749,3,false
750,2,false
751,3,false
752,0,false
753,3,false
754,0,false
755,2,false
756,1,false
757,2,false
758,0,false
759,1,false
760,0,false
761,0,false
762,2,false
763,0,false
764,0,false
765,2,false
766,3,false
767,3,false
768,2,false
769,2,false
770,2,false
771,3,false
772,1,false
773,0,false
774,2,false
775,0,false
776,3,false
777,1,false
778,0,false
779,0,false
780,3,false
781,1,false
782,1,false
783,3,false
784,3,false
785,1,false
786,1,false
787,2,false
788,3,false
789,3,false
790,0,false
791,1,false
792,0,false
793,2,false
794,3,false
795,3,false
796,1,false
797,3,false
798,2,false
799,0,false
800,0,false
801,0,false
802,0,false
803,2,false
804,3,false
805,0,false
806,3,false
807,2,false
808,0,false
809,3,false
810,0,false
811,2,false
812,3,false
813,0,false
814,1,false
815,0,true
816,1,false
817,0,false
818,3,false
819,0,false
820,0,false
