ID,Answer,IsCover
1,3,true
2,0,true
3,3,true
4,1,true
5,2,true
6,1,true
7,2,true
8,1,true
9,3,true
10,1,true
11,1,true
12,0,true
13,2,true
14,3,false
15,0,true
16,0,true
17,1,true
18,0,true
19,1,true
20,0,true
21,2,true
22,1,true
23,1,true
24,0,true
25,0,true
26,1,true
27,2,true
28,0,true
29,3,true
30,0,false
31,2,true
32,2,true
33,1,true
34,2,true
35,0,true
36,3,true
37,0,true
38,3,true
39,0,true
40,1,true
41,1,true
42,3,true
43,2,false
44,2,true
45,0,true
46,0,true
47,2,true
48,2,true
49,0,true
50,3,true
51,3,true
52,0,true
53,0,true
54,2,true
55,3,true
56,2,true
57,1,true
58,0,true
59,1,true
60,0,false
61,2,true
62,0,true
63,3,true
64,0,true
65,1,true
66,0,true
67,0,true
68,3,false
69,0,true
70,3,true
71,0,true
72,3,true
73,2,true
74,1,false
75,0,true
76,0,false
77,0,true
78,3,false
79,2,false
80,0,true
81,3,true
82,2,true
83,3,true
84,0,true
85,1,true
86,0,true
87,0,true
88,0,true
89,0,true
90,3,true
91,1,true
92,3,true
93,0,true
94,0,true
95,3,true
96,1,true
97,0,true
98,2,true
99,0,true
100,1,true
101,0,true
102,0,true
103,2,true
104,2,true
105,1,true
106,0,true
107,2,true
108,2,true
109,0,true
110,0,true
111,1,true
112,0,true
113,2,true
114,2,true
115,0,true
116,1,true
117,2,true
118,3,true
119,2,true
120,3,true
121,1,true
122,0,true
123,0,true
124,1,true
125,2,true
126,1,true
127,1,true
128,0,true
129,0,true
130,2,true
131,1,true
132,3,true
133,1,true
134,1,true
135,1,false
136,1,true
137,3,true
138,3,true
139,3,true
140,0,true
141,0,true
142,1,true
143,3,true
144,0,true
145,1,false
146,1,true
147,0,true
148,3,true
149,2,true
150,0,false
151,0,true
152,0,true
153,0,true
154,1,true
155,1,true
156,2,true
157,0,true
158,3,true
159,0,true
160,2,true
161,0,false
162,1,true
163,3,true
164,3,true
165,0,true
166,0,true
167,2,true
168,0,true
169,1,true
170,3,true
171,0,true
172,3,true
173,2,true
174,1,true
175,2,false
176,1,true
177,1,true
178,1,false
179,0,true
180,2,true
181,1,true
182,2,true
183,3,true
184,0,true
185,1,true
186,3,true
187,1,true
188,1,true
189,1,true
190,0,true
191,0,true
192,0,true
193,3,true
194,3,true
195,1,true
196,1,true
197,2,true
198,3,true
199,0,true
200,0,true
201,3,true
202,1,true
203,2,true
204,2,true
205,2,true
206,0,true
207,1,true
208,0,true
209,2,true
210,3,true
211,1,true
212,3,true
213,3,true
214,3,true
215,0,true
216,0,true
217,1,true
218,2,true
219,0,true
220,3,true
221,0,true
222,2,true
223,1,true
224,0,true
225,0,true
226,3,true
227,2,true
228,1,true
229,2,true
230,3,true
231,1,true
232,1,false
233,0,false
234,0,true
235,0,true
236,3,true
237,0,true
238,2,true
239,2,true
240,0,true
241,1,true
242,3,true
243,0,true
244,0,true
245,0,true
246,1,false
247,0,true
248,2,true
249,1,false
250,2,true
251,1,true
252,1,true
253,2,true
254,3,true
255,2,true
256,2,true
257,0,true
258,2,true
259,1,true
260,3,true
261,3,true
262,3,true
263,0,true
264,0,true
265,2,true
266,0,true
267,1,true
268,1,true
269,0,false
270,3,true
271,1,true
272,0,true
273,0,true
274,0,true
275,0,true
276,3,false
277,1,true
278,2,true
279,2,true
280,2,true
281,1,true
282,0,true
283,1,true
284,1,true
285,1,true
286,0,true
287,1,true
288,1,true
289,3,true
290,0,true
291,2,true
292,2,true
293,1,true
294,1,true
295,2,true
296,3,true
297,0,true
298,2,true
299,1,true
300,1,true
301,2,true
302,3,true
303,0,true
304,3,true
305,2,true
306,2,true
307,0,true
308,0,true
309,2,true
310,2,true
311,0,true
312,2,true
313,0,true
314,0,true
315,3,true
316,2,true
317,2,true
318,1,true
319,0,true
320,0,false
321,0,true
322,3,true
323,2,true
324,2,true
325,3,true
326,0,true
327,0,true
328,2,true
329,3,true
330,2,true
331,1,true
332,1,true
333,0,true
334,3,true
335,3,true
336,2,true
337,0,true
338,1,true
339,0,true
340,2,false
341,3,true
342,1,true
343,2,true
344,3,true
345,0,true
346,3,true
347,1,true
348,2,true
349,1,true
350,1,true
351,0,true
352,0,true
353,0,true
354,0,false
355,0,true
356,2,true
357,1,true
358,3,false
359,1,true
360,1,true
361,3,true
362,0,true
363,0,true
364,1,true
365,2,true
366,3,true
367,0,true
368,0,true
369,2,true
370,1,true
371,0,true
372,3,true
373,1,false
374,1,true
375,0,true
376,3,true
377,2,false
378,0,true
379,0,true
380,0,true
381,3,true
382,1,true
383,1,true
384,1,true
385,0,true
386,2,true
387,3,true
388,3,true
389,0,true
390,1,true
391,2,true
392,1,true
393,3,true
394,0,true
395,2,true
396,1,true
397,0,false
398,1,false
399,2,true
400,1,true
401,0,false
402,3,true
403,1,true
404,0,true
405,0,true
406,2,true
407,1,true
408,1,true
409,3,true
410,3,true
411,0,true
412,2,true
413,0,true
414,0,true
415,0,false
416,1,false
417,3,true
418,2,true
419,1,true
420,0,false
421,3,true
422,0,true
423,3,true
424,3,true
425,2,true
426,1,true
427,3,true
